No. 1 - Single Pane Window,Winter Temperature Difference,,,,,,,,,,,,,,,,
,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,U
,HTM ( Btuh per sq. ft),,,,,,,,,,,,,,,,
Clear Glass,,,,,,,,,,,,,,,,,
A. Wood Frame,19.8,24.8,29.7,34.7,39.6,44.6,49.5,54.5,59.4,64.4,69.3,74.3,79.2,84.2,89.1,94.1,0.99
B. T.I.M. Frame,20.9,26.1,31.4,36.6,41.8,47,52.3,57.5,62.7,67.9,73.2,78.4,83.6,88.8,94.1,99.3,1.045
C. Metal Frame,23.1,28.9,34.7,40.4,46.2,52,57.8,63.5,69.3,75.1,80.9,86.6,92.4,98.2,104,109.7,1.155
"Low Emittance Glass, e = 0.60",,,,,,,,,,,,,,,,,
D. Wood Frame,18.4,23,27.5,32.1,36.7,41.3,45.9,50.5,55.1,59.7,64.3,68.9,73.4,78,82.6,87.2,0.918
E. T.I.M. Frame,19.4,24.2,29.1,33.9,38.8,43.6,48.5,53.3,58.1,63,67.8,72.7,77.5,82.4,87.2,92.1,0.969
F. Metal Frame,21.4,26.8,32.1,37.5,42.8,48.2,53.6,58.9,64.3,69.6,75,80.3,85.7,91,96.4,101.7,1.071
"Low Emittance Glass, e = 0.40",,,,,,,,,,,,,,,,,
G. Wood Frame,16.4,20.5,24.6,28.7,32.8,36.9,41,45,49.1,53.2,57.3,61.4,65.5,69.6,73.7,77.8,0.819
H. T.I.M. Frame,17.3,21.6,25.9,30.3,34.6,38.9,43.2,47.5,51.9,56.2,60.5,64.8,69.2,73.5,77.8,82.1,0.865
I. Metal Frame,19.1,23.9,28.7,33.4,38.2,43,47.8,52.6,57.3,62.1,66.9,71.7,76.4,81.2,86,90.8,0.956
"Low Emittance Glass, e = 0.20",,,,,,,,,,,,,,,,,
J. Wood Frame,14.2,17.8,21.3,24.9,28.4,32,35.6,39.1,42.7,46.2,49.8,53.3,56.9,60.4,64,67.5,0.711
K. T.I.M. Frame,15,18.8,22.5,26.3,30,33.8,37.5,41.3,45,48.8,52.5,56.3,60,63.8,67.5,71.3,0.751
L. Metal Frame,16.6,20.7,24.9,29,33.2,37.3,41.5,45.6,49.8,53.9,58.1,62.2,66.4,70.5,74.7,78.8,0.83
,,,,,,,,,,,,,,,,,
No. 2 - Single Pane Window & Storm,Winter Temperature Difference,,,,,,,,,,,,,,,,
,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,
,HTM (Btuh per sq. ft),,,,,,,,,,,,,,,,
Clear Glass,,,,,,,,,,,,,,,,,
A. Wood Frame,9.5,11.9,14.3,16.6,19,21.4,23.8,26.1,28.5,30.9,33.3,35.6,38,40.4,42.8,45.1,0.475
B. T.I.M. Frame,10.5,13.1,15.8,18.4,21,23.6,26.3,28.9,31.5,34.1,36.8,39.4,42,44.6,47.3,49.9,0.525
C. Metal Fframe,13,16.3,19.5,22.8,26,29.3,32.5,35.8,39,42.3,45.5,48.8,52,55.3,58.5,61.8,0.65
Low Emittance Glass,,,,,,,,,,,,,,,,,
D. Wood Frame,8.4,10.5,12.5,14.6,16.7,18.8,20.9,23,25.1,27.2,29.3,31.4,33.4,35.5,37.6,39.7,0.418
E. T.I.M. Frame,9.2,11.6,13.9,16.2,18.5,20.8,23.1,25.4,27.7,30,32.3,34.7,37,39.3,41.6,43.9,0.462
F. Metal Frame,11.4,14.3,17.2,20,22.9,25.7,28.6,31.5,34.3,37.2,40,42.9,45.8,48.6,51.5,54.3,0.572
,,,,,,,,,,,,,,,,,
No. 3 Double Pane Window,Winter Temperature Difference,,,,,,,,,,,,,,,,
,20,25,30,35,40,45,50,55,58,65,70,75,80,85,90,95,U
,HTM (Btuh per sq. ft),,,,,,,,,,,,,,,,
Clear Glass,,,,,,,,,,,,,,,,,
A. Wood Frame,11,13.8,16.5,19.3,22,24.8,27.6,30.3,33.1,35.8,38.6,41.3,44.1,46.8,49.6,52.3,0.551
B. T.I.M. Frame,12.2,15.2,18.3,21.3,24.4,27.4,30.5,33.5,36.5,39.6,42.6,45.7,48.7,51.8,54.8,57.9,0.609
C. Metal Frame,14.5,18.1,21.8,25.4,29,32.6,36.3,39.9,43.5,47.1,50.8,54.4,58,61.6,65.3,68.9,0.725
Low Emittance Glass,,,,,,,,,,,,,,,,,
D. Wood Frame,7.2,9,10.8,12.6,14.4,16.2,18.1,19.9,21.7,23.5,25.3,27.1,28.9,30.7,32.5,34.3,0.361
E. T.I.M. Frame,8,10,12,14,16,18,20,21.9,23.9,25.9,27.9,29.9,31.9,33.9,35.9,37.9,0.399
F. Metal Frame,9.5,11.9,14.3,16.6,19,21.4,23.8,26.1,28.5,30.9,33.3,35.6,38,40.4,42.8,45.1,0.475
Adjustable Blind Between Panes,,,,,,,,,,,,,,,,,
G. Wood Frame,4.8,5.9,7.1,8.3,9.5,10.7,11.9,13.1,14.3,15.4,16.6,17.8,19,20.2,21.4,22.6,0.238
H. T.I.M. Frame,5.3,6.6,7.9,9.2,10.5,11.8,13.1,14.4,15.8,17.1,18.4,19.7,21,22.3,23.6,24.9,0.263
,,,,,,,,,,,,,,,,,
No. 4 Double Pane Window & Storm,Winter Temperature Difference,,,,,,,,,,,,,,,,
,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,U
,HTM (Btuh per sq. ft),,,,,,,,,,,,,,,,
Clear Glass,,,,,,,,,,,,,,,,,
A. Wood Frame,6.8,8.5,10.2,11.9,13.7,15.4,17.1,18.8,20.5,22.2,23.9,25.6,27.3,29,30.7,32.4,0.341
B. T.I.M. Frame,7.7,9.6,11.6,13.5,15.4,17.3,19.3,21.2,23.1,25,27,28.9,30.8,32.7,34.7,36.6,0.385
C. Metal Frame,9.8,12.3,14.7,17.2,19.6,22.1,24.5,27,29.4,31.9,34.3,36.8,39.2,41.7,44.1,46.6,0.49
Low Emittance Glass,,,,,,,,,,,,,,,,,
D. Wood Frame,5.3,6.6,7.9,9.2,10.5,11.8,13.2,14.5,15.8,17.1,18.4,19.7,21.1,22.4,23.7,25,0.263
E. T.I.M. Frame,5.9,7.4,8.9,10.4,11.9,13.4,14.9,16.3,17.8,19.3,20.8,22.3,23.8,25.2,26.7,28.2,0.297
F. Metal Frame,7.6,9.5,11.3,13.2,15.1,17,18.9,20.8,22.7,24.6,26.5,28.4,30.2,32.1,34,35.9,0.378
,,,,,,,,,,,,,,,,,
No. 5 Triple Pane Window,Winter Temperature Difference,,,,,,,,,,,,,,,,
,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,U
,HTM (Btuh per sq. ft),,,,,,,,,,,,,,,,
Clear Glass,,,,,,,,,,,,,,,,,
A. Wood Frame,7.6,9.5,11.4,13.3,15.2,17.1,19,20.9,22.8,24.7,26.6,28.5,30.4,32.3,34.2,36.1,0.38
B. T.I.M. Frame,8.8,11,13.2,15.4,17.6,19.7,21.9,24.1,26.3,28.5,30.7,32.9,35.1,37.3,39.5,41.7,0.439
C. Metal Frame,10.9,13.7,16.4,19.1,21.8,24.6,27.3,30,32.8,35.5,38.2,41,43.7,46.4,49.1,51.9,0.546
Low Emittance Glass,,,,,,,,,,,,,,,,,
