Category,Option 1,Option 2,Daily Range,10,15,20,25,30,35,U
No. 10 Wood Doors,Hollow Core,No Storm,L,9.9,12.7,15.5,,,,0.56
No. 10 Wood Doors,Hollow Core,No Storm,M,7.6,10.4,13.2,16,,,0.56
No. 10 Wood Doors,Hollow Core,No Storm,H,,7.6,10.4,13.2,16,18.8,0.56
No. 10 Wood Doors,Hollow Core,Wood Storm,L,5.8,7.5,9.1,,,,0.33
No. 10 Wood Doors,Hollow Core,Wood Storm,M,4.5,6.1,7.8,9.4,,,0.33
No. 10 Wood Doors,Hollow Core,Wood Storm,H,,4.5,6.1,7.8,9.4,11.1,0.33
No. 10 Wood Doors,Hollow Core,Metal Storm,L,6.3,8.1,9.9,,,,0.36
No. 10 Wood Doors,Hollow Core,Metal Storm,M,4.9,6.7,8.5,10.3,,,0.36
No. 10 Wood Doors,Hollow Core,Metal Storm,H,,4.9,6.7,8.5,10.3,12.1,0.36
No. 10 Wood Doors,Solid Core,No Storm,L,8.1,10.4,12.7,,,,0.46
No. 10 Wood Doors,Solid Core,No Storm,M,6.3,8.6,10.9,13.2,,,0.46
No. 10 Wood Doors,Solid Core,No Storm,H,,6.3,8.6,10.9,13.2,15.5,0.46
No. 10 Wood Doors,Solid Core,Wood Storm,L,5.1,6.6,8,,,,0.29
No. 10 Wood Doors,Solid Core,Wood Storm,M,3.9,5.4,6.8,8.3,,,0.29
No. 10 Wood Doors,Solid Core,Wood Storm,H,,3.9,5.4,6.8,8.3,9.7,0.29
No. 10 Wood Doors,Solid Core,Metal Storm,L,5.6,7.2,8.8,,,,0.32
No. 10 Wood Doors,Solid Core,Metal Storm,M,4.4,6,7.6,9.2,,,0.32
No. 10 Wood Doors,Solid Core,Metal Storm,H,,4.4,6,7.6,9.2,10.8,0.32
No. 10 Wood Doors,Panel,No Storm,L,11.8,15.1,18.5,,,,0.67
No. 10 Wood Doors,Panel,No Storm,M,9.1,12.5,15.8,19.2,,,0.67
No. 10 Wood Doors,Panel,No Storm,H,,9.1,12.5,15.8,19.2,22.5,0.67
No. 10 Wood Doors,Panel,Wood Storm,L,6.3,8.1,9.9,,,,0.36
No. 10 Wood Doors,Panel,Wood Storm,M,4.9,6.7,8.5,10.3,,,0.36
No. 10 Wood Doors,Panel,Wood Storm,H,,4.9,6.7,8.5,10.3,12.1,0.36
No. 10 Wood Doors,Panel,Metal Storm,L,7.2,9.3,11.3,,,,0.41
No. 10 Wood Doors,Panel,Metal Storm,M,5.6,7.6,9.7,11.7,,,0.41
No. 10 Wood Doors,Panel,Metal Storm,H,,5.6,7.6,9.7,11.7,13.8,0.41
No. 11 Metal Doors,Fiberglass Core,No Storm,L,10.4,13.3,18.3,,,,0.59
No. 11 Metal Doors,Fiberglass Core,No Storm,M,8,11,13.9,16.9,,,0.59
No. 11 Metal Doors,Fiberglass Core,No Storm,H,,8,11,13.9,16.9,19.8,0.59
No. 11 Metal Doors,Fiberglass Core,Storm,L,6.5,8.3,10.1,,,,0.367
No. 11 Metal Doors,Fiberglass Core,Storm,M,5,6.8,8.7,10.5,,,0.367
No. 11 Metal Doors,Fiberglass Core,Storm,H,,5,6.8,8.7,10.5,12.3,0.367
No. 11 Metal Doors,Polystyrene Core,No Storm,L,8.3,10.6,13,,,,0.47
No. 11 Metal Doors,Polystyrene Core,No Storm,M,6.4,8.7,11.1,13.4,,,0.47
No. 11 Metal Doors,Polystyrene Core,No Storm,H,,6.4,8.7,11.1,13.4,15.8,0.47
