No. 1 - Single Pane Window	Winter Temperature Difference																
	20	25	30	35	40	45	50	55	60	65	70	75	80	85	90	95	U
	HTM ( Btuh per sq. ft)																
Clear Glass																	
A. Wood Frame																	
B. T.I.M. Frame																	
C. Metal Frame																	
"Low Emittance Glass, e = 0.60"																	
D. Wood Frame																	
E. T.I.M. Frame																	
F. Metal Frame																	
"Low Emittance Glass, e = 0.40"																	
G. Wood Frame																	
H. T.I.M. Frame																	
I. Metal Frame																	
"Low Emittance Glass, e = 0.20"																	
J. Wood Frame																	
K. T.I.M. Frame																	
L. Metal Frame																	
																	
