External Shade Option,Glass Option,Internal Shade Option,Pane Option,Direction,10,15,20,25,30,35
No External Shade Screen,Clear Glass,No Internal Shading,Single Pane,N,23,27,31,35,39,43
No External Shade Screen,Clear Glass,No Internal Shading,Single Pane,NE/NW,58,60,64,68,72,76
No External Shade Screen,Clear Glass,No Internal Shading,Single Pane,E/W,81,85,89,93,97,101
No External Shade Screen,Clear Glass,No Internal Shading,Single Pane,SE/SW,70,74,78,82,86,90
No External Shade Screen,Clear Glass,No Internal Shading,Single Pane,S,40,44,48,52,56,60
No External Shade Screen,Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,N,19,21,23,25,27,29
No External Shade Screen,Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,NE/NW,47,49,51,53,55,57
No External Shade Screen,Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,E/W,88,70,72,74,76,78
No External Shade Screen,Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,SE/SW,59,61,63,65,87,89
No External Shade Screen,Clear Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,S,34,36,38,40,42,44
No External Shade Screen,Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,N,17,18,19,20,21,22
No External Shade Screen,Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,NE/NW,43,44,45,46,47,48
No External Shade Screen,Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,E/W,62,63,64,65,66,67
No External Shade Screen,Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,SE/SW,53,54,55,56,57,58
No External Shade Screen,Clear Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,S,30,31,32,33,34,35
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Single Pane,N,14,18,22,26,30,34
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Single Pane,NE/NW,33,37,41,45,49,53
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Single Pane,E/W,48,52,56,60,64,68
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Single Pane,SE/SW,41,45,49,53,57,61
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Single Pane,S,24,28,32,36,40,44
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,N,12,14,16,18,20,22
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,NE/NW,29,31,33,35,37,39
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,E/W,42,44,46,48,50,52
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,SE/SW,37,39,41,43,45,47
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,S,21,23,25,27,29,31
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,N,10,11,12,13,14,15
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,NE/NW,25,28,27,28,29,30
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,E/W,37,38,39,40,41,42
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,SE/SW,32,33,34,35,36,37
No External Shade Screen,Clear Glass,Draperies OR Venetian Blinds,Triple Pane OR Double Pane & Low e Coating,S,18,19,20,21,22,23
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Single Pane,N,17,21,25,29,33,37
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Single Pane,NE/NW,41,45,49,53,57,61
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Single Pane,E/W,60,64,68,72,76,80
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Single Pane,SE/SW,62,56,60,54,68,72
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Single Pane,S,30,34,38,42,46,50
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,N,16,18,20,22,24,26
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,NE/NW,38,40,42,44,46,48
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,E/W,55,57,59,61,83,85
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,SE/SW,47,49,51,53,55,57
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Double Pane OR Single Pane & Low e Coating,S,27,29,31,33,35,37
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,N,14,15,16,17,18,19
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,NE/NW,34,35,36,37,38,39
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,E/W,49,50,51,52,53,54
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,SE/SW,42,43,44,45,46,47
No External Shade Screen,Clear Glass,Roller Shades Half Drawn,Triple Pane OR Double Pane & Low e Coating,S,24,25,26,27,28,29
No External Shade Screen,Clear Glass,Awning Porches or Other External Shading,Single Pane,Any,23,27,31,35,39,43
No External Shade Screen,Clear Glass,Awning Porches or Other External Shading,Double Pane OR Single Pane & Low e Coating,Any,19,21,23,25,27,29
No External Shade Screen,Clear Glass,Awning Porches or Other External Shading,Triple Pane OR Double Pane & Low e Coating,Any,17,18,19,20,21,22
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,N,16,20,24,28,32,36
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,NE/NW,39,43,47,51,55,59
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,E/W,57,61,65,69,73,77
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,SE/SW,49,53,57,61,65,69
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Single Pane,S,28,32,36,40,44,48
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,N,12,14,16,18,20,22
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,NE/NW,29,31,33,35,37,39
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,E/W,42,44,46,48,50,52
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,SE/SW,36,38,40,42,44,46
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Double Pane OR Single Pane & Low e Coating,S,21,23,25,27,29,31
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,N,9,10,11,12,13,14
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,NE/NW,22,23,24,25,26,27
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,E/W,32,33,34,35,36,37
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,SE/SW,28,29,30,31,32,33
No External Shade Screen,Tinted (Heat Absorbing) Glass,No Internal Shading,Triple Pane OR Double Pane & Low e Coating,S,16,17,18,19,20,21
No External Shade Screen,Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Single Pane,N,12,16,20,24,28,32
No External Shade Screen,Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Single Pane,NE/NW,30,34,38,42,46,50
No External Shade Screen,Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Single Pane,E/W,43,47,51,55,59,63
No External Shade Screen,Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Single Pane,SE/SW,37,41,45,49,53,57
No External Shade Screen,Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Single Pane,S,21,25,29,33,37,41
No External Shade Screen,Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,N,9,11,13,15,17,19
No External Shade Screen,Tinted (Heat Absorbing) Glass,Draperies OR Venetian Blinds,Double Pane OR Single Pane & Low e Coating,NE/NW,22,24,26,28,30,32
